S No,Tweets,Sentiments
1,  Just last week 300 Iranians were killed by your friend the good guy . In the last 8 years over 1 million in…,positive
2, 3/... 3. #Israel with U.S. help vs #Iran #Hezbollah #Hamas #Syria PIJ others  4. #Ukraine vs #Russia  Would eventually…,positive
3," JUST NOW: President Trump introduces ""Conan,"" the heroic military dog who helped take out ISIS leader Abu Bakr al-Baghdadi.…",positive
4, HERO!   Today Conan receives honor at the White House. He was injured during the raid that led to the death of ISIS leader…,positive
